seed,turn,budget,v_index,v_dp,v_lp,rel_gap,idx_over_lp
0,17,4000,2.723088,2.723088,2.73792,0.0,0.994583
0,18,600,2.040331,2.181375,2.084387,0.064658,0.978864
0,18,1200,2.562899,2.562899,2.600322,-0.0,0.985608
0,18,1600,2.615002,2.615002,2.640648,-0.0,0.990288
0,18,2500,2.714454,2.714454,2.727789,-0.0,0.995111
0,18,4000,2.840711,2.840711,2.852051,0.0,0.996024
0,19,600,2.043312,2.186988,2.06834,0.065696,0.987899
0,19,1200,2.642475,2.642475,2.676326,-0.0,0.987352
0,19,1600,2.695684,2.695684,2.716977,-0.0,0.992163
0,19,2500,2.792333,2.792333,2.802621,-0.0,0.996329
0,19,4000,2.921292,2.921292,2.929187,-0.0,0.997305
0,20,600,2.00526,2.159448,2.016538,0.071402,0.994407
0,20,1200,2.711722,2.711722,2.739598,-0.0,0.989824
0,20,1600,2.76208,2.76208,2.778624,-0.0,0.994046
0,20,2500,2.856237,2.856237,2.86221,0.0,0.997913
0,20,4000,2.981887,2.981888,2.986653,0.0,0.998404
0,21,600,1.901951,2.053876,1.906026,0.07397,0.997862
0,21,1200,2.68569,2.68569,2.709465,0.0,0.991225
0,21,1600,2.736048,2.736048,2.749009,0.0,0.995285
0,21,2500,2.830179,2.830179,2.832519,0.0,0.999174
0,21,4000,2.95181,2.95181,2.953197,0.0,0.99953
0,22,600,1.894447,2.05463,1.901727,0.077962,0.996172
0,22,1200,2.793089,2.793089,2.812572,0.0,0.993073
0,22,1600,2.843089,2.843089,2.852053,0.0,0.996857
0,22,2500,2.891474,2.937214,2.936034,0.015572,0.984823
0,22,4000,3.024473,3.064158,3.062343,0.012951,0.987634
0,23,600,1.822157,2.026498,1.853288,0.100834,0.983203
0,23,1200,2.896612,2.896612,2.91192,0.0,0.994743
0,23,1600,2.946612,2.946612,2.951464,0.0,0.998356
0,23,2500,2.994373,3.018391,3.036501,0.007957,0.986126
0,23,4000,3.124851,3.141191,3.159339,0.005202,0.989084
0,24,600,1.73652,1.930965,1.771995,0.100698,0.97998
0,24,1200,2.848363,2.848363,2.859596,-0.0,0.996072
0,24,1600,2.898363,2.898363,2.899301,-0.0,0.999676
0,24,2500,2.945557,2.945557,2.9816,-0.0,0.987911
0,24,4000,3.073383,3.073383,3.10397,-0.0,0.990146
0,25,600,1.752453,1.94278,1.76767,0.097966,0.991391
0,25,1200,2.974741,2.974741,2.98209,-0.0,0.997536
0,25,1600,2.974741,3.026806,3.023493,0.017201,0.983876
0,25,2500,3.07608,3.07608,3.108404,-0.0,0.989601
0,25,4000,3.203546,3.203546,3.230925,0.0,0.991526
0,26,600,1.727717,1.926715,1.737609,0.103284,0.994307
0,26,1200,3.067359,3.067359,3.070527,0.0,0.998968
0,26,1600,3.067359,3.099896,3.114227,0.010496,0.98495
0,26,2500,3.171022,3.171022,3.200771,0.0,0.990706
0,26,4000,3.298936,3.298936,3.323442,0.0,0.992626
0,27,600,1.649644,1.852152,1.661955,0.109337,0.992592
0,27,1200,3.021899,3.040293,3.030696,0.00605,0.997097
0,27,1600,3.040293,3.040293,3.079566,0.0,0.987247
0,27,2500,3.141468,3.141468,3.166619,0.0,0.992058
0,27,4000,3.269773,3.269773,3.290252,0.0,0.993776
0,28,600,1.61129,1.835566,1.650251,0.122183,0.976391
0,28,1200,3.097612,3.161798,3.114693,0.0203,0.994516
0,28,1600,3.161798,3.161798,3.199477,0.0,0.988223
0,28,2500,3.266022,3.266022,3.289362,0.0,0.992904
0,28,4000,3.396572,3.396572,3.414586,0.0,0.994724
0,29,600,1.595882,1.805719,1.609091,0.116207,0.991791
0,29,1200,3.088747,3.156303,3.109384,0.021404,0.993363
0,29,1600,3.193162,3.193162,3.225082,-0.0,0.990103
0,29,2500,3.298422,3.298422,3.317189,-0.0,0.994343
0,29,4000,3.433656,3.433656,3.448591,-0.0,0.995669
0,30,600,1.48262,1.72452,1.523165,0.140271,0.973381
0,30,1200,3.104348,3.162393,3.1055,0.018355,0.999629
0,30,1600,3.244021,3.244021,3.271434,0.0,0.99162
0,30,2500,3.346053,3.346053,3.361399,-0.0,0.995435
0,30,4000,3.481138,3.481138,3.492159,-0.0,0.996844
0,31,600,1.418858,1.645639,1.440464,0.137807,0.985001
0,31,1200,2.994367,3.073897,3.001557,0.025873,0.997605
0,31,1600,3.16617,3.16617,3.188815,-0.0,0.992899
0,31,2500,3.266997,3.266997,3.277443,-0.0,0.996813
0,31,4000,3.396766,3.396766,3.405264,-0.0,0.997504
0,32,600,1.392864,1.624233,1.406805,0.142449,0.99009
