model,seed,arm,budget,turn,input_tok,peak_tok,latency_s
llama3.2:1b,2,recency,400,4,1571,1039,43.396425
llama3.2:1b,2,recency,400,5,1581,1044,41.314917
llama3.2:1b,3,recency,400,0,463,306,11.04349
llama3.2:1b,3,recency,400,1,832,551,11.609625
llama3.2:1b,3,recency,400,2,1201,796,11.774985
llama3.2:1b,3,recency,400,3,1561,1035,11.258433
llama3.2:1b,3,recency,400,4,1573,1042,34.929613
llama3.2:1b,3,recency,400,5,1583,1048,36.639103
llama3.2:1b,4,recency,400,0,463,305,10.826489
llama3.2:1b,4,recency,400,1,832,550,11.351806
llama3.2:1b,4,recency,400,2,1201,794,12.120731
llama3.2:1b,4,recency,400,3,1561,1033,11.937036
llama3.2:1b,4,recency,400,4,1570,1040,38.563838
llama3.2:1b,4,recency,400,5,1579,1046,36.689033
llama3.2:1b,0,reactive_afm,400,0,463,306,17.362895
llama3.2:1b,0,reactive_afm,400,1,528,352,12.263056
llama3.2:1b,0,reactive_afm,400,2,593,399,12.037362
llama3.2:1b,0,reactive_afm,400,3,649,439,12.102274
llama3.2:1b,0,reactive_afm,400,4,401,283,5.048074
llama3.2:1b,0,reactive_afm,400,5,457,325,4.526337
llama3.2:1b,1,reactive_afm,400,0,463,305,10.462048
llama3.2:1b,1,reactive_afm,400,1,528,352,4.366399
llama3.2:1b,1,reactive_afm,400,2,593,399,4.380953
llama3.2:1b,1,reactive_afm,400,3,649,440,14.924219
llama3.2:1b,1,reactive_afm,400,4,401,284,6.586133
llama3.2:1b,1,reactive_afm,400,5,457,325,4.515622
llama3.2:1b,2,reactive_afm,400,0,463,306,10.433084
llama3.2:1b,2,reactive_afm,400,1,528,352,4.633096
llama3.2:1b,2,reactive_afm,400,2,573,386,4.148048
llama3.2:1b,2,reactive_afm,400,3,629,428,13.982769
llama3.2:1b,2,reactive_afm,400,4,381,270,7.320474
llama3.2:1b,2,reactive_afm,400,5,437,312,4.383168
llama3.2:1b,3,reactive_afm,400,0,463,306,10.184664
llama3.2:1b,3,reactive_afm,400,1,528,352,4.317526
llama3.2:1b,3,reactive_afm,400,2,593,399,13.356307
llama3.2:1b,3,reactive_afm,400,3,649,440,11.853767
llama3.2:1b,3,reactive_afm,400,4,401,283,5.100121
llama3.2:1b,3,reactive_afm,400,5,457,325,4.332225
llama3.2:1b,4,reactive_afm,400,0,463,305,10.236898
llama3.2:1b,4,reactive_afm,400,1,528,352,4.368112
llama3.2:1b,4,reactive_afm,400,2,593,398,4.36728
llama3.2:1b,4,reactive_afm,400,3,649,440,14.481017
llama3.2:1b,4,reactive_afm,400,4,401,283,4.980534
llama3.2:1b,4,reactive_afm,400,5,457,324,4.187913
llama3.2:1b,0,foveance,400,0,463,306,2.655256
llama3.2:1b,0,foveance,400,1,528,352,2.900986
llama3.2:1b,0,foveance,400,2,593,399,2.635474
llama3.2:1b,0,foveance,400,3,649,439,2.94539
llama3.2:1b,0,foveance,400,4,401,283,3.229789
llama3.2:1b,0,foveance,400,5,457,325,4.492991
llama3.2:1b,1,foveance,400,0,463,305,3.007825
llama3.2:1b,1,foveance,400,1,528,352,10.511255
llama3.2:1b,1,foveance,400,2,593,398,10.579127
llama3.2:1b,1,foveance,400,3,649,440,11.841265
llama3.2:1b,1,foveance,400,4,401,284,5.086089
llama3.2:1b,1,foveance,400,5,457,325,4.396636
llama3.2:1b,2,foveance,400,0,463,306,3.025907
llama3.2:1b,2,foveance,400,1,528,352,4.506326
llama3.2:1b,2,foveance,400,2,573,386,4.119924
llama3.2:1b,2,foveance,400,3,629,427,10.195025
llama3.2:1b,2,foveance,400,4,381,270,5.016537
llama3.2:1b,2,foveance,400,5,437,312,4.477765
llama3.2:1b,3,foveance,400,0,463,306,2.981359
llama3.2:1b,3,foveance,400,1,528,352,4.381551
llama3.2:1b,3,foveance,400,2,593,399,2.923776
llama3.2:1b,3,foveance,400,3,649,440,2.940625
llama3.2:1b,3,foveance,400,4,401,283,3.276758
llama3.2:1b,3,foveance,400,5,457,325,4.220273
llama3.2:1b,4,foveance,400,0,463,305,3.042576
llama3.2:1b,4,foveance,400,1,528,352,4.346485
llama3.2:1b,4,foveance,400,2,593,398,4.364719
llama3.2:1b,4,foveance,400,3,649,440,2.938753
llama3.2:1b,4,foveance,400,4,401,283,3.199045
llama3.2:1b,4,foveance,400,5,457,324,4.161799
llama3.2:1b,0,full,700,0,463,306,2.601804
llama3.2:1b,0,full,700,1,832,551,10.939055
llama3.2:1b,0,full,700,2,1201,795,10.957228
llama3.2:1b,0,full,700,3,1561,1033,11.486367
llama3.2:1b,0,full,700,4,1921,1273,11.617493
llama3.2:1b,0,full,700,5,2281,1512,12.215417
llama3.2:1b,1,full,700,0,463,305,2.667184
llama3.2:1b,1,full,700,1,832,550,11.026381
llama3.2:1b,1,full,700,2,1201,795,10.779791
llama3.2:1b,1,full,700,3,1561,1034,11.520551
llama3.2:1b,1,full,700,4,1921,1273,11.919148
llama3.2:1b,1,full,700,5,2281,1513,12.191735
llama3.2:1b,2,full,700,0,463,306,3.078291
llama3.2:1b,2,full,700,1,832,551,10.901876
llama3.2:1b,2,full,700,2,1201,795,10.983277
llama3.2:1b,2,full,700,3,1561,1034,11.570666
llama3.2:1b,2,full,700,4,1921,1272,11.88687
llama3.2:1b,2,full,700,5,2281,1511,11.842795
llama3.2:1b,3,full,700,0,463,306,2.959925
llama3.2:1b,3,full,700,1,832,551,10.678722
llama3.2:1b,3,full,700,2,1201,796,11.144976
llama3.2:1b,3,full,700,3,1561,1035,11.361217
llama3.2:1b,3,full,700,4,1921,1275,12.186831
llama3.2:1b,3,full,700,5,2281,1514,12.355674
llama3.2:1b,4,full,700,0,463,305,3.093968
llama3.2:1b,4,full,700,1,832,550,11.547045
llama3.2:1b,4,full,700,2,1201,794,11.968775
llama3.2:1b,4,full,700,3,1561,1033,12.256013
llama3.2:1b,4,full,700,4,1921,1272,12.586634
llama3.2:1b,4,full,700,5,2281,1511,13.062286
llama3.2:1b,0,recency,700,0,463,306,10.378962
llama3.2:1b,0,recency,700,1,832,551,11.057565
llama3.2:1b,0,recency,700,2,1201,795,11.46401
llama3.2:1b,0,recency,700,3,1561,1033,11.612065
llama3.2:1b,0,recency,700,4,1570,1039,35.496061
llama3.2:1b,0,recency,700,5,1580,1047,35.602184
llama3.2:1b,1,recency,700,0,463,305,10.326268
llama3.2:1b,1,recency,700,1,832,550,10.936158
llama3.2:1b,1,recency,700,2,1201,795,11.068394
llama3.2:1b,1,recency,700,3,1561,1034,11.406803
llama3.2:1b,1,recency,700,4,1572,1041,35.431676
llama3.2:1b,1,recency,700,5,1584,1048,35.731405
llama3.2:1b,2,recency,700,0,463,306,10.556721
llama3.2:1b,2,recency,700,1,832,551,10.685506
llama3.2:1b,2,recency,700,2,1201,795,11.040873
llama3.2:1b,2,recency,700,3,1561,1034,11.558205
llama3.2:1b,2,recency,700,4,1571,1039,35.237877
llama3.2:1b,2,recency,700,5,1581,1044,35.185971
llama3.2:1b,3,recency,700,0,463,306,10.258766
llama3.2:1b,3,recency,700,1,832,551,10.771818
llama3.2:1b,3,recency,700,2,1201,796,10.806592
llama3.2:1b,3,recency,700,3,1561,1035,11.538997
llama3.2:1b,3,recency,700,4,1573,1042,35.126674
llama3.2:1b,3,recency,700,5,1583,1048,34.991117
llama3.2:1b,4,recency,700,0,463,305,10.366409
llama3.2:1b,4,recency,700,1,832,550,10.9073
llama3.2:1b,4,recency,700,2,1201,794,11.330076
llama3.2:1b,4,recency,700,3,1561,1033,11.127044
llama3.2:1b,4,recency,700,4,1570,1040,34.957607
llama3.2:1b,4,recency,700,5,1579,1046,34.762402
llama3.2:1b,0,reactive_afm,700,0,463,306,2.967434
llama3.2:1b,0,reactive_afm,700,1,832,551,10.854967
llama3.2:1b,0,reactive_afm,700,2,897,597,11.611507
llama3.2:1b,0,reactive_afm,700,3,953,637,10.919897
llama3.2:1b,0,reactive_afm,700,4,1009,678,10.84873
llama3.2:1b,0,reactive_afm,700,5,1065,720,11.837209
llama3.2:1b,1,reactive_afm,700,0,463,305,2.967485
llama3.2:1b,1,reactive_afm,700,1,832,550,11.363604
llama3.2:1b,1,reactive_afm,700,2,897,597,4.596269
llama3.2:1b,1,reactive_afm,700,3,953,637,11.580289
llama3.2:1b,1,reactive_afm,700,4,1009,680,12.074386
llama3.2:1b,1,reactive_afm,700,5,1065,722,18.421143
llama3.2:1b,2,reactive_afm,700,0,463,306,3.032252
llama3.2:1b,2,reactive_afm,700,1,832,551,10.747304
llama3.2:1b,2,reactive_afm,700,2,877,585,4.33322
llama3.2:1b,2,reactive_afm,700,3,933,626,10.516025
llama3.2:1b,2,reactive_afm,700,4,989,666,11.660386
llama3.2:1b,2,reactive_afm,700,5,1045,708,11.728667
llama3.2:1b,3,reactive_afm,700,0,463,306,2.961083
llama3.2:1b,3,reactive_afm,700,1,832,551,10.592587
llama3.2:1b,3,reactive_afm,700,2,897,597,12.302679
llama3.2:1b,3,reactive_afm,700,3,953,638,11.188449
llama3.2:1b,3,reactive_afm,700,4,1009,680,11.272966
llama3.2:1b,3,reactive_afm,700,5,1065,721,18.439541
llama3.2:1b,4,reactive_afm,700,0,463,305,3.083375
llama3.2:1b,4,reactive_afm,700,1,832,550,11.012145
llama3.2:1b,4,reactive_afm,700,2,897,595,11.693972
llama3.2:1b,4,reactive_afm,700,3,953,637,17.95531
llama3.2:1b,4,reactive_afm,700,4,1009,679,18.152243
llama3.2:1b,4,reactive_afm,700,5,1065,720,11.933721
llama3.2:1b,0,foveance,700,0,463,306,2.998371
llama3.2:1b,0,foveance,700,1,832,551,11.105411
llama3.2:1b,0,foveance,700,2,897,597,11.6814
llama3.2:1b,0,foveance,700,3,953,637,3.013439
llama3.2:1b,0,foveance,700,4,1009,678,18.029109
llama3.2:1b,0,foveance,700,5,1065,720,11.844473
llama3.2:1b,1,foveance,700,0,463,305,2.977599
llama3.2:1b,1,foveance,700,1,832,550,10.909723
llama3.2:1b,1,foveance,700,2,897,597,11.045984
llama3.2:1b,1,foveance,700,3,953,637,10.429899
llama3.2:1b,1,foveance,700,4,1009,680,11.462556
llama3.2:1b,1,foveance,700,5,1065,722,2.735242
llama3.2:1b,2,foveance,700,0,463,306,3.021622
llama3.2:1b,2,foveance,700,1,832,551,10.778663
llama3.2:1b,2,foveance,700,2,877,585,4.295298
llama3.2:1b,2,foveance,700,3,953,637,18.634968
llama3.2:1b,2,foveance,700,4,989,666,10.591593
llama3.2:1b,2,foveance,700,5,1045,706,18.204569
llama3.2:1b,3,foveance,700,0,463,306,2.974851
llama3.2:1b,3,foveance,700,1,832,551,10.730517
llama3.2:1b,3,foveance,700,2,897,597,11.533498
llama3.2:1b,3,foveance,700,3,953,638,2.973805
llama3.2:1b,3,foveance,700,4,1009,680,2.956398
llama3.2:1b,3,foveance,700,5,1065,721,2.968792
llama3.2:1b,4,foveance,700,0,463,305,3.041564
llama3.2:1b,4,foveance,700,1,832,550,11.033991
llama3.2:1b,4,foveance,700,2,897,595,11.765343
llama3.2:1b,4,foveance,700,3,953,637,2.945122
llama3.2:1b,4,foveance,700,4,1009,679,10.486173
llama3.2:1b,4,foveance,700,5,1065,720,11.678923
llama3.2:1b,0,full,1200,0,463,306,2.975858
llama3.2:1b,0,full,1200,1,832,551,10.689491
llama3.2:1b,0,full,1200,2,1201,795,10.967118
llama3.2:1b,0,full,1200,3,1561,1033,11.763552
llama3.2:1b,0,full,1200,4,1921,1273,11.793155
llama3.2:1b,0,full,1200,5,2281,1512,12.288524
llama3.2:1b,1,full,1200,0,463,305,2.963837
llama3.2:1b,1,full,1200,1,832,550,11.089776
llama3.2:1b,1,full,1200,2,1201,795,11.048401
llama3.2:1b,1,full,1200,3,1561,1034,11.460061
llama3.2:1b,1,full,1200,4,1921,1273,11.877943
llama3.2:1b,1,full,1200,5,2281,1513,12.185226
llama3.2:1b,2,full,1200,0,463,306,3.047522
llama3.2:1b,2,full,1200,1,832,551,10.743981
llama3.2:1b,2,full,1200,2,1201,795,11.037919
llama3.2:1b,2,full,1200,3,1561,1034,11.817694
llama3.2:1b,2,full,1200,4,1921,1272,12.445786
llama3.2:1b,2,full,1200,5,2281,1511,12.495737
llama3.2:1b,3,full,1200,0,463,306,3.033165
llama3.2:1b,3,full,1200,1,832,551,11.277128
llama3.2:1b,3,full,1200,2,1201,796,11.399636
llama3.2:1b,3,full,1200,3,1561,1035,11.746927
llama3.2:1b,3,full,1200,4,1921,1275,11.78347
llama3.2:1b,3,full,1200,5,2281,1514,12.269279
llama3.2:1b,4,full,1200,0,463,305,3.084199
llama3.2:1b,4,full,1200,1,832,550,11.236423
llama3.2:1b,4,full,1200,2,1201,794,11.465028
llama3.2:1b,4,full,1200,3,1561,1033,11.443665
llama3.2:1b,4,full,1200,4,1921,1272,12.051991
llama3.2:1b,4,full,1200,5,2281,1511,12.538312
llama3.2:1b,0,recency,1200,0,463,306,10.495191
llama3.2:1b,0,recency,1200,1,832,551,11.195889
llama3.2:1b,0,recency,1200,2,1201,795,11.067686
llama3.2:1b,0,recency,1200,3,1561,1033,11.495534
llama3.2:1b,0,recency,1200,4,1570,1039,3.074065
llama3.2:1b,0,recency,1200,5,1580,1047,2.676394
llama3.2:1b,1,recency,1200,0,463,305,10.365537
llama3.2:1b,1,recency,1200,1,832,550,10.782845
llama3.2:1b,1,recency,1200,2,1201,795,10.908655
llama3.2:1b,1,recency,1200,3,1561,1034,11.444088
llama3.2:1b,1,recency,1200,4,1572,1041,3.068164
llama3.2:1b,1,recency,1200,5,1584,1048,3.222964
llama3.2:1b,2,recency,1200,0,463,306,10.569522
llama3.2:1b,2,recency,1200,1,832,551,10.727191
llama3.2:1b,2,recency,1200,2,1201,795,10.91285
llama3.2:1b,2,recency,1200,3,1561,1034,11.681886
llama3.2:1b,2,recency,1200,4,1571,1039,2.792876
llama3.2:1b,2,recency,1200,5,1581,1044,3.210728
llama3.2:1b,3,recency,1200,0,463,306,10.185858
llama3.2:1b,3,recency,1200,1,832,551,10.65238
llama3.2:1b,3,recency,1200,2,1201,796,11.081685
llama3.2:1b,3,recency,1200,3,1561,1035,11.369039
llama3.2:1b,3,recency,1200,4,1573,1042,2.786064
llama3.2:1b,3,recency,1200,5,1583,1048,2.94088
llama3.2:1b,4,recency,1200,0,463,305,10.456158
llama3.2:1b,4,recency,1200,1,832,550,11.020769
llama3.2:1b,4,recency,1200,2,1201,794,11.198874
llama3.2:1b,4,recency,1200,3,1561,1033,11.324719
llama3.2:1b,4,recency,1200,4,1570,1040,2.782922
llama3.2:1b,4,recency,1200,5,1579,1046,2.710374
llama3.2:1b,0,reactive_afm,1200,0,463,306,2.995485
llama3.2:1b,0,reactive_afm,1200,1,832,551,10.804229
llama3.2:1b,0,reactive_afm,1200,2,1201,795,10.919917
llama3.2:1b,0,reactive_afm,1200,3,1561,1033,11.706554
llama3.2:1b,0,reactive_afm,1200,4,1617,1075,27.932283
llama3.2:1b,0,reactive_afm,1200,5,1673,1116,20.03927
llama3.2:1b,1,reactive_afm,1200,0,463,305,2.988549
llama3.2:1b,1,reactive_afm,1200,1,832,550,11.764675
llama3.2:1b,1,reactive_afm,1200,2,1201,795,11.609176
llama3.2:1b,1,reactive_afm,1200,3,1561,1034,11.843864
llama3.2:1b,1,reactive_afm,1200,4,1617,1075,28.52222
llama3.2:1b,1,reactive_afm,1200,5,1673,1117,27.874864
llama3.2:1b,2,reactive_afm,1200,0,463,306,3.053143
llama3.2:1b,2,reactive_afm,1200,1,832,551,10.803859
llama3.2:1b,2,reactive_afm,1200,2,1201,795,11.130375
llama3.2:1b,2,reactive_afm,1200,3,1561,1034,12.069537
llama3.2:1b,2,reactive_afm,1200,4,1597,1062,20.258549
llama3.2:1b,2,reactive_afm,1200,5,1653,1103,27.449644
llama3.2:1b,3,reactive_afm,1200,0,463,306,2.986446
llama3.2:1b,3,reactive_afm,1200,1,832,551,10.75697
llama3.2:1b,3,reactive_afm,1200,2,1201,796,10.969133
llama3.2:1b,3,reactive_afm,1200,3,1561,1035,11.447023
llama3.2:1b,3,reactive_afm,1200,4,1617,1076,28.402799
llama3.2:1b,3,reactive_afm,1200,5,1673,1117,19.502172
llama3.2:1b,4,reactive_afm,1200,0,463,305,3.031613
llama3.2:1b,4,reactive_afm,1200,1,832,550,10.95966
llama3.2:1b,4,reactive_afm,1200,2,1201,794,11.23927
llama3.2:1b,4,reactive_afm,1200,3,1561,1033,11.560359
llama3.2:1b,4,reactive_afm,1200,4,1617,1074,28.60529
llama3.2:1b,4,reactive_afm,1200,5,1673,1115,28.357308
llama3.2:1b,0,foveance,1200,0,463,306,2.978563
llama3.2:1b,0,foveance,1200,1,832,551,10.995543
llama3.2:1b,0,foveance,1200,2,1201,795,10.890814
llama3.2:1b,0,foveance,1200,3,1561,1033,11.657164
llama3.2:1b,0,foveance,1200,4,1617,1075,2.7724
llama3.2:1b,0,foveance,1200,5,1673,1116,2.868417
llama3.2:1b,1,foveance,1200,0,463,305,2.979834
llama3.2:1b,1,foveance,1200,1,832,550,10.953428
llama3.2:1b,1,foveance,1200,2,1201,795,10.898574
llama3.2:1b,1,foveance,1200,3,1561,1034,11.623271
llama3.2:1b,1,foveance,1200,4,1617,1075,2.806577
llama3.2:1b,1,foveance,1200,5,1673,1117,2.793855
llama3.2:1b,2,foveance,1200,0,463,306,3.02467
llama3.2:1b,2,foveance,1200,1,832,551,10.808394
llama3.2:1b,2,foveance,1200,2,1201,795,10.955095
llama3.2:1b,2,foveance,1200,3,1561,1034,11.992543
llama3.2:1b,2,foveance,1200,4,1597,1062,19.941176
llama3.2:1b,2,foveance,1200,5,1653,1103,2.796953
llama3.2:1b,3,foveance,1200,0,463,306,3.070068
llama3.2:1b,3,foveance,1200,1,832,551,10.642359
llama3.2:1b,3,foveance,1200,2,1201,796,11.041098
llama3.2:1b,3,foveance,1200,3,1561,1035,11.634085
llama3.2:1b,3,foveance,1200,4,1617,1076,2.800238
llama3.2:1b,3,foveance,1200,5,1673,1117,2.793587
llama3.2:1b,4,foveance,1200,0,463,305,3.009776
llama3.2:1b,4,foveance,1200,1,832,550,10.966528
llama3.2:1b,4,foveance,1200,2,1201,794,11.3466
llama3.2:1b,4,foveance,1200,3,1561,1033,11.296643
llama3.2:1b,4,foveance,1200,4,1617,1074,2.795392
llama3.2:1b,4,foveance,1200,5,1673,1115,3.036236
qwen2.5:1.5b,0,full,400,0,547,306,16.628994
qwen2.5:1.5b,0,full,400,1,993,551,11.394814
qwen2.5:1.5b,0,full,400,2,1438,795,13.071687
qwen2.5:1.5b,0,full,400,3,1869,1033,13.982892
qwen2.5:1.5b,0,full,400,4,2305,1273,13.565561
qwen2.5:1.5b,0,full,400,5,2742,1512,14.508312
qwen2.5:1.5b,1,full,400,0,543,305,11.036311
qwen2.5:1.5b,1,full,400,1,991,550,11.726905
qwen2.5:1.5b,1,full,400,2,1437,795,12.785316
qwen2.5:1.5b,1,full,400,3,1871,1034,12.5448
qwen2.5:1.5b,1,full,400,4,2308,1273,13.045186
qwen2.5:1.5b,1,full,400,5,2745,1513,13.811917
qwen2.5:1.5b,2,full,400,0,545,306,11.142488
qwen2.5:1.5b,2,full,400,1,996,551,11.665527
qwen2.5:1.5b,2,full,400,2,1438,795,12.26033
qwen2.5:1.5b,2,full,400,3,1872,1034,12.588061
qwen2.5:1.5b,2,full,400,4,2303,1272,12.884595
qwen2.5:1.5b,2,full,400,5,2736,1511,13.557604
qwen2.5:1.5b,3,full,400,0,546,306,10.708437
qwen2.5:1.5b,3,full,400,1,994,551,11.468912
qwen2.5:1.5b,3,full,400,2,1441,796,12.076736
qwen2.5:1.5b,3,full,400,3,1878,1035,12.345731
qwen2.5:1.5b,3,full,400,4,2315,1275,13.165117
qwen2.5:1.5b,3,full,400,5,2748,1514,14.093153
qwen2.5:1.5b,4,full,400,0,543,305,10.641546
qwen2.5:1.5b,4,full,400,1,991,550,11.316487
qwen2.5:1.5b,4,full,400,2,1433,794,11.948261
qwen2.5:1.5b,4,full,400,3,1867,1033,12.645039
qwen2.5:1.5b,4,full,400,4,2303,1272,12.959819
qwen2.5:1.5b,4,full,400,5,2736,1511,13.409857
qwen2.5:1.5b,0,recency,400,0,547,306,10.551863
qwen2.5:1.5b,0,recency,400,1,993,551,11.522607
qwen2.5:1.5b,0,recency,400,2,1438,795,12.498692
qwen2.5:1.5b,0,recency,400,3,1869,1033,12.382729
qwen2.5:1.5b,0,recency,400,4,1879,1039,37.957282
qwen2.5:1.5b,0,recency,400,5,1893,1047,37.269966
qwen2.5:1.5b,1,recency,400,0,543,305,11.179864
qwen2.5:1.5b,1,recency,400,1,991,550,11.539225
qwen2.5:1.5b,1,recency,400,2,1437,795,11.955258
qwen2.5:1.5b,1,recency,400,3,1871,1034,12.394937
qwen2.5:1.5b,1,recency,400,4,1887,1041,37.570861
qwen2.5:1.5b,1,recency,400,5,1898,1048,37.299619
qwen2.5:1.5b,2,recency,400,0,545,306,10.658644
qwen2.5:1.5b,2,recency,400,1,996,551,11.405066
qwen2.5:1.5b,2,recency,400,2,1438,795,11.820142
qwen2.5:1.5b,2,recency,400,3,1872,1034,12.203864
qwen2.5:1.5b,2,recency,400,4,1878,1039,37.301098
qwen2.5:1.5b,2,recency,400,5,1882,1044,36.213741
qwen2.5:1.5b,3,recency,400,0,546,306,10.928769
qwen2.5:1.5b,3,recency,400,1,994,551,11.709511
qwen2.5:1.5b,3,recency,400,2,1441,796,11.947868
qwen2.5:1.5b,3,recency,400,3,1878,1035,12.529081
qwen2.5:1.5b,3,recency,400,4,1890,1042,37.681183
qwen2.5:1.5b,3,recency,400,5,1898,1048,37.466202
qwen2.5:1.5b,4,recency,400,0,543,305,10.701348
qwen2.5:1.5b,4,recency,400,1,991,550,11.503807
qwen2.5:1.5b,4,recency,400,2,1433,794,11.873366
qwen2.5:1.5b,4,recency,400,3,1867,1033,12.398452
qwen2.5:1.5b,4,recency,400,4,1880,1040,37.747876
qwen2.5:1.5b,4,recency,400,5,1887,1046,37.059303
qwen2.5:1.5b,0,reactive_afm,400,0,547,306,3.140375
qwen2.5:1.5b,0,reactive_afm,400,1,621,352,11.971538
qwen2.5:1.5b,0,reactive_afm,400,2,697,399,11.639541
qwen2.5:1.5b,0,reactive_afm,400,3,758,439,11.469034
qwen2.5:1.5b,0,reactive_afm,400,4,457,283,4.939971
qwen2.5:1.5b,0,reactive_afm,400,5,523,325,4.16816
qwen2.5:1.5b,1,reactive_afm,400,0,543,305,3.026328
qwen2.5:1.5b,1,reactive_afm,400,1,620,352,4.16245
qwen2.5:1.5b,1,reactive_afm,400,2,697,399,4.438014
qwen2.5:1.5b,1,reactive_afm,400,3,762,440,14.354326
qwen2.5:1.5b,1,reactive_afm,400,4,459,284,6.178503
qwen2.5:1.5b,1,reactive_afm,400,5,525,325,4.183504
qwen2.5:1.5b,2,reactive_afm,400,0,545,306,3.073646
qwen2.5:1.5b,2,reactive_afm,400,1,622,352,4.463765
qwen2.5:1.5b,2,reactive_afm,400,2,674,386,3.993442
qwen2.5:1.5b,2,reactive_afm,400,3,743,428,14.034686
qwen2.5:1.5b,2,reactive_afm,400,4,434,270,6.877238
qwen2.5:1.5b,2,reactive_afm,400,5,500,312,4.142672
qwen2.5:1.5b,3,reactive_afm,400,0,546,306,3.063693
qwen2.5:1.5b,3,reactive_afm,400,1,621,352,4.42062
qwen2.5:1.5b,3,reactive_afm,400,2,697,399,13.177976
qwen2.5:1.5b,3,reactive_afm,400,3,764,440,11.711417
qwen2.5:1.5b,3,reactive_afm,400,4,458,283,4.811346
qwen2.5:1.5b,3,reactive_afm,400,5,524,325,4.187454
qwen2.5:1.5b,4,reactive_afm,400,0,543,305,3.096727
qwen2.5:1.5b,4,reactive_afm,400,1,620,352,4.422679
qwen2.5:1.5b,4,reactive_afm,400,2,695,398,4.439154
qwen2.5:1.5b,4,reactive_afm,400,3,761,440,14.606519
qwen2.5:1.5b,4,reactive_afm,400,4,458,283,4.706058
qwen2.5:1.5b,4,reactive_afm,400,5,522,324,4.118772
qwen2.5:1.5b,0,foveance,400,0,547,306,2.727834
qwen2.5:1.5b,0,foveance,400,1,621,352,2.709465
qwen2.5:1.5b,0,foveance,400,2,697,399,2.745167
qwen2.5:1.5b,0,foveance,400,3,758,439,2.748293
qwen2.5:1.5b,0,foveance,400,4,457,283,3.084155
qwen2.5:1.5b,0,foveance,400,5,523,325,4.207842
qwen2.5:1.5b,1,foveance,400,0,543,305,3.09152
qwen2.5:1.5b,1,foveance,400,1,621,352,10.420868
qwen2.5:1.5b,1,foveance,400,2,696,398,10.568855
qwen2.5:1.5b,1,foveance,400,3,761,440,11.707078
qwen2.5:1.5b,1,foveance,400,4,459,284,4.81016
qwen2.5:1.5b,1,foveance,400,5,525,325,4.250115
qwen2.5:1.5b,2,foveance,400,0,545,306,3.042088
qwen2.5:1.5b,2,foveance,400,1,622,352,4.376017
qwen2.5:1.5b,2,foveance,400,2,674,386,3.963457
qwen2.5:1.5b,2,foveance,400,3,738,427,10.226175
qwen2.5:1.5b,2,foveance,400,4,434,270,4.779464
qwen2.5:1.5b,2,foveance,400,5,500,312,4.215979
qwen2.5:1.5b,3,foveance,400,0,546,306,3.079865
qwen2.5:1.5b,3,foveance,400,1,621,352,4.404613
qwen2.5:1.5b,3,foveance,400,2,697,399,2.734886
qwen2.5:1.5b,3,foveance,400,3,764,440,2.735646
qwen2.5:1.5b,3,foveance,400,4,458,283,3.049349
qwen2.5:1.5b,3,foveance,400,5,524,325,4.146702
qwen2.5:1.5b,4,foveance,400,0,543,305,3.031364
qwen2.5:1.5b,4,foveance,400,1,620,352,4.55213
qwen2.5:1.5b,4,foveance,400,2,695,398,4.462492
qwen2.5:1.5b,4,foveance,400,3,761,440,2.754632
qwen2.5:1.5b,4,foveance,400,4,458,283,3.04822
qwen2.5:1.5b,4,foveance,400,5,522,324,4.117335
qwen2.5:1.5b,0,full,700,0,547,306,2.700357
qwen2.5:1.5b,0,full,700,1,993,551,11.291558
qwen2.5:1.5b,0,full,700,2,1438,795,12.037646
qwen2.5:1.5b,0,full,700,3,1869,1033,12.395693
qwen2.5:1.5b,0,full,700,4,2305,1273,13.507625
qwen2.5:1.5b,0,full,700,5,2742,1512,13.394527
qwen2.5:1.5b,1,full,700,0,543,305,2.722322
qwen2.5:1.5b,1,full,700,1,991,550,11.327953
qwen2.5:1.5b,1,full,700,2,1437,795,12.003412
qwen2.5:1.5b,1,full,700,3,1871,1034,12.30538
qwen2.5:1.5b,1,full,700,4,2308,1273,12.903421
qwen2.5:1.5b,1,full,700,5,2745,1513,13.891036
qwen2.5:1.5b,2,full,700,0,545,306,3.027981
qwen2.5:1.5b,2,full,700,1,996,551,11.400371
qwen2.5:1.5b,2,full,700,2,1438,795,11.94904
qwen2.5:1.5b,2,full,700,3,1872,1034,12.310329
qwen2.5:1.5b,2,full,700,4,2303,1272,12.774128
qwen2.5:1.5b,2,full,700,5,2736,1511,13.562811
qwen2.5:1.5b,3,full,700,0,546,306,3.017541
qwen2.5:1.5b,3,full,700,1,994,551,11.333126
qwen2.5:1.5b,3,full,700,2,1441,796,11.863029
qwen2.5:1.5b,3,full,700,3,1878,1035,12.491332
qwen2.5:1.5b,3,full,700,4,2315,1275,12.985999
qwen2.5:1.5b,3,full,700,5,2748,1514,13.514518
qwen2.5:1.5b,4,full,700,0,543,305,3.02687
qwen2.5:1.5b,4,full,700,1,991,550,11.252317
qwen2.5:1.5b,4,full,700,2,1433,794,11.822873
qwen2.5:1.5b,4,full,700,3,1867,1033,12.434915
qwen2.5:1.5b,4,full,700,4,2303,1272,12.855579
qwen2.5:1.5b,4,full,700,5,2736,1511,13.294476
qwen2.5:1.5b,0,recency,700,0,547,306,10.699756
